STATECD,UNITCD,COUNTYCD,PLOT,sdimax_metric_mean,sdimax_metric_median,sdimax_english_mean,sdimax_english_median,PLT_CN,CONDID,FORTYPCD,OWNGRPCD,SITECLCD
9,1,5,133,1543.10324429833,1513.81963394284,624.471662280816,612.621006853939,304024343489998,1,503,40,6
9,1,5,141,949.103128193299,908.384390711054,384.088368894782,367.610082185537,944325532290487,1,503,40,5
9,1,5,142,1283.21664917346,1256.81106818092,519.299299600751,508.613341213437,944325502290487,1,505,40,5
9,1,5,150,1100.62172275519,1099.16227939665,445.405762246218,444.815146535001,567481579126144,1,401,40,3
9,1,5,151,801.436081143419,836.448698762691,324.329641359173,338.498743527999,503649793126144,1,105,40,6
9,1,5,159,586.910637331092,607.317250618094,237.514283414715,245.772545956734,719393280290487,1,503,40,4
9,1,5,167,766.555445802332,810.641514062483,310.213950517784,328.054947503284,1285453447290487,1,510,40,5
9,1,5,183,607.327650729873,586.706435646014,245.776754732209,237.431645933269,1285453451290487,1,801,40,5
9,1,5,187,449.028992485111,431.937953327367,181.715567241233,174.799069805057,503649798126144,1,503,30,5
9,1,5,190,296.382357596199,293.082428372989,119.941672213232,118.60623837558,304031892489998,2,801,40,5
9,1,5,228,881.406601028386,853.706536323022,356.692559181133,345.482741875804,445525731489998,1,503,40,5
9,1,5,237,518.801711862147,497.098430046493,209.95158204596,201.168576422423,944325491290487,1,503,30,4
9,1,5,252,1127.53221168892,1119.98052820979,456.296049606658,453.239992046896,944325466290487,1,519,40,6
9,1,5,254,1085.06542189982,1054.88966743614,439.110351300782,426.898658000195,503649937126144,1,503,40,5
